Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors,Datetime
57,-0.033149985,-9.056199519,-0.002634737,0.014941294,0.00017577,2
77,-0.004194037,-3.030450341,14.83993081,29.22938022,9.15E-06,6
83,-0.040890708,0.429867101,8.94727497,14.06713757,-8.49E-05,15
110,123.3298681,45306.92495,-0.003004981,-0.012371881,2.11E-05,0
77,-0.033643319,4.663680228,0.032908348,0.076105085,0.000273082,20
109,120.1497163,45415.45424,-0.003868723,-0.012565257,7.42E-05,0
57,-0.104257045,-14.99023946,2.309362127,7.929043968,-0.000164049,20
65,-0.078937836,55.50514403,-0.00080072,-0.013457405,1.001098421,4
57,-0.138830299,15.36128786,1.271276515,5.872063429,0.000108281,3
75,-0.063094258,35.89526338,19.03247531,34.80107921,7.47E-05,16
155,10.11494267,10650.01778,0.030195421,0.010551567,-0.000256472,22
147,9.554924119,10020.38956,0.024747816,-0.016251274,-0.000352769,5
109,112.8823933,46083.20538,-0.019577543,0.002511984,9.71E-05,0
170,9.900824032,16021.2168,0.013556918,-0.009562179,3.29E-05,22
55,0.048065646,-20.079125,0.004411371,-0.017173359,0.00021451,4
51,-0.076045125,-1.248241585,1.707185583,2.314446044,5.49E-06,4
56,0.029271912,-23.78158131,4.395494578,5.496668385,-0.000271074,1
63,-0.052311041,-8.358839284,-0.033478462,-0.034647166,-5.31E-05,3
56,-0.03165854,15.67963245,2.587550036,3.361620663,-5.57E-05,1
56,0.029017086,59.8737156,5.157348728,5.114514892,2.86E-06,3
75,-0.00436128,18.89805854,0.014699277,0.043405006,0.000168349,18
65,0.002208573,-32.75304504,0.022648273,0.017655082,1.00278196,3
107,145.7960903,118087.7826,-0.024821535,-0.033183438,-4.36E-05,18
154,9.921350699,10134.85334,0.029253591,-0.00238382,-0.000273094,22
83,-0.108673329,-18.15966539,21.38184845,38.30893821,0.000398683,13
67,-0.000467639,-6.786884187,0.002527069,0.005067514,5.17E-05,7
65,-0.089206005,20.34948596,0.968327321,1.233692823,0.000112208,3
60,-0.03914303,-85.50248014,0.002251511,-0.004584892,0.00045036,6
52,-0.087801913,-29.13829206,-0.000272126,0.006063117,-8.18E-05,3
149,10.66646463,13351.54322,0.039021237,0.013789143,0.000157862,22
69,-0.076920235,1.395505276,-0.016201207,-0.011168345,0.999628649,9
155,10.2971801,11203.85987,0.001285119,0.004160046,4.17E-05,22
58,-0.092556749,16.02272305,2.408961488,4.646777367,-0.000193697,3
57,-0.121385106,-16.29729173,1.215690236,0.848237922,-3.58E-05,0
109,126.8530075,43373.44482,0.00042311,-0.048681499,9.29E-06,1
89,154.0458831,108683.7217,0.002260144,-0.016926117,1.03E-05,14
72,148.24376,111964.5003,-0.009843456,-0.033903569,0.000415244,13
167,19.70676857,17384.73117,0.002034377,0.031505455,0.000267653,16
55,0.028345861,-12.16686165,3.560963223,7.603879823,2.75E-05,5
84,-0.12598702,5.905768361,-0.000789472,0.020958164,1.002899425,16
83,136.596884,99014.42831,-0.016503255,-0.014399616,0.000567056,17
75,0.062308482,-19.5314827,0.022100955,0.045166535,0.000178676,17
63,-0.040534291,-16.22509883,6.685764633,13.25631621,-0.000191275,3
122,9.50952379,7689.706541,0.000220319,0.000911057,-0.00016724,5
50,-0.036891811,-31.83800263,3.236787939,5.010273328,0.000160653,2
71,-0.030894247,-26.28588314,0.014858858,0.02656404,1.002687098,12
64,-0.036883253,-6.235340597,19.69473935,35.72902132,0.000101376,7
67,-0.069817241,-34.83574485,0.010353623,0.035857408,9.17E-05,6
70,-0.0342473,-8.013410247,-0.008806563,-0.020353434,0.99962978,8
55,0.055411278,-34.32559419,4.856237356,4.014720075,5.18E-05,4
70,0.059315362,-37.51517442,0.01373755,0.035214999,8.18E-06,12
53,-0.016588077,7.067093942,0.020365687,0.005825389,1.001955879,3
78,-0.007090651,19.82419854,12.40473362,26.84898684,0.00011935,5
77,-0.037306014,42.81519295,7.96753727,21.33103065,-4.29E-05,19
68,-0.087812565,26.30422955,0.008653372,0.034332836,1.000642539,8
84,-0.0302145,59.71168906,0.025436616,0.039034963,0.000210182,22
86,-0.090120776,21.64751877,6.263608325,18.40424872,-0.000216923,1
88,0.004358953,27.12329866,13.64904384,21.32221346,0.000299692,14
56,-0.012722303,-9.273100795,8.084885501,6.770538952,0.000193313,0
55,-0.048986398,-48.88977985,1.46875318,3.020788984,-0.000128153,2
64,-0.017816825,-40.68679453,-0.01182897,-0.029151268,0.000154154,6
71,0.005864765,-40.1572827,6.165924686,13.73664982,0.000141465,6
74,-0.104158318,31.73259769,8.715351027,14.49753615,0.000125519,4
81,144.9411399,102694.368,-0.011345988,-0.017383855,0.000320058,14
99,138.2887855,107875.2085,0.003454822,-0.0028612,0.000178313,18
72,-0.03966778,26.70056389,0.021414856,0.036650487,1.001685682,13
85,-0.047353752,14.90470565,-0.013592466,0.019426662,0.000155735,22
75,-0.035616067,-1.387200885,0.039292002,0.011200595,8.52E-05,22
66,-0.055728646,21.38899301,-0.000235229,0.012193862,0.000287946,6
62,-0.028067098,-44.07037607,0.014576758,0.023362222,-0.00015908,3
90,169.5564034,126317.7035,0.003024382,-0.012324278,0.000392201,12
173,19.88749906,22474.47585,0.044120295,0.05131263,-2.77E-05,13
51,-0.074266804,16.84181452,-0.036790353,2.86111668,-1.84E-05,1
52,-0.030572968,-21.45159386,1.99821449,2.479397114,-9.22E-05,2
55,-0.07519677,38.12222336,3.030195996,3.413229004,-0.000214561,1
99,139.5600586,99956.25898,0.015525294,0.020762741,-5.71E-05,21
66,-0.046861341,22.95567611,0.004228401,-0.022111673,1.00274834,3
60,-0.013708062,9.2700622,11.48514168,13.35367444,-7.01E-05,1
65,-0.129635735,21.387543,0.002109854,0.000312352,1.001360542,6
151,9.929144561,13650.28933,0.015670894,-0.017190032,5.36E-05,15
98,162.2131526,119860.2256,-0.001823675,-0.001846026,0.000137115,16
61,-0.090493111,63.60926454,0.872318998,1.325063127,-0.000176589,8
170,25.74952506,15886.41957,0.000869069,0.025318375,3.98E-05,22
73,0.02503366,41.11067359,0.038260351,0.029221006,0.000432319,22
70,0.016112229,6.124706786,-0.020965352,1.435245202,0.000210636,4
98,143.3934221,105333.0008,-0.001673387,-0.019258642,0.000484801,15
76,-0.001586098,7.281771228,0.014617062,0.027209878,6.08E-05,10
94,144.9233947,108557.3904,0.012366771,0.011156078,6.90E-05,14
65,-0.101846185,-30.98960113,1.056539751,1.248987884,0.00028016,4
57,0.048752419,-18.10234628,3.240228738,7.273707271,0.000356705,3
68,-0.085628732,-23.79800413,13.79972999,20.07855552,5.70E-05,11
65,0.044254548,-21.01136101,0.031676801,-0.077400807,0.000256413,3
88,-0.075573805,12.5164601,12.39776334,31.54780957,1.65E-05,19
52,-0.049355726,27.23399991,0.001460038,-0.036879129,0.999977361,1
87,0.067836016,2.32246876,9.191467223,16.44484529,-8.38E-06,16
149,21.16071632,13205.8788,0.007800852,-0.030693682,-5.68E-05,22
124,44.49943963,76313.06331,-0.014318899,-0.017333102,7.52E-05,2
126,20.34504149,79825.77888,-0.004941495,-0.025045761,0.000315575,21
68,0.050384407,-42.29281957,0.012102041,0.046800729,-2.58E-05,17
96,135.8087056,110570.1206,0.00170698,-0.009304087,0.000278046,18
99,135.9123322,96500.81082,-0.003721601,0.010526641,0.00013644,17
