Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors,Datetime
158.72102,9.818248,23909.674,0.19386475,0.32174632,0.0002605617,20.6934
57.163044,0.18853778,128.58914,6.972999,12.0257015,0.001045793,2.6118526
158.90196,12.450605,21599.586,0.0050815903,0.106868304,0.0005526244,21.723545
73.61196,0.6160782,437.89438,10.772752,18.688005,-0.0021608886,8.976622
67.79945,0.81567156,71.30446,0.12388313,0.10125345,-0.003943274,12.209091
62.22538,0.29068416,343.88248,0.11341351,-0.16681543,-0.0051076417,10.219542
62.06857,0.069395445,653.7652,0.056016125,0.011656772,0.006571586,9.782566
161.54425,11.431591,26334.742,0.09772008,-0.101854004,-0.005288939,21.281677
153.3163,9.46082,18312.486,-0.071525425,-0.09959144,0.0039052765,19.823603
53.867012,0.47928146,55.9879,6.358718,10.901226,0.0041762795,2.0928977
62.869106,0.33405936,423.47183,8.001849,13.878547,-0.00184199,4.6338034
78.85948,0.9431982,433.37637,8.77103,16.01272,0.0016859455,17.26476
64.69076,-0.60256404,-752.0093,-0.095526844,0.07999419,0.99463695,7.900253
76.677284,0.6540444,784.98486,9.974437,18.77348,0.0021003454,14.878466
110.410164,175.45914,99067.984,0.42452288,0.15540315,-0.027035084,-1.2696329
109.969826,164.8313,77999.38,0.23345315,-0.3657171,-0.03541478,1.2441186
75.94812,0.05132407,28.499733,11.888771,20.432215,0.00034099817,13.251807
56.05217,0.5802282,301.4554,6.2382483,10.690861,0.0020475956,2.343
70.92148,-0.54828876,-9.391403,0.046553444,-0.06979894,-0.006813272,14.131673
75.576996,0.23552868,447.67908,9.208771,17.250734,-0.0022818109,10.737884
161.16496,13.221769,23189.605,0.04498936,0.22939727,-0.0042072884,21.753603
66.57614,0.63630515,369.31024,-0.042072687,-0.006445095,0.0035825814,11.665852
76.51319,0.34104383,247.95316,10.464347,18.63763,-0.0014199009,12.482243
58.09249,-0.3490354,752.7982,0.27137,-0.07990118,1.0,2.4035158
61.883778,0.019175112,473.37714,0.07728825,-0.03762137,0.0018651761,9.846585
60.814857,0.5418569,-118.38022,0.058999296,-0.1537391,-0.008763402,9.063382
62.887806,0.12439547,586.73303,0.03390028,0.0150220655,0.0073288856,9.876446
52.515606,0.032618344,183.69902,4.3703613,7.5415125,0.0030054657,2.7125309
64.96961,0.54033005,354.8728,-0.005899921,-0.07499491,0.0076193972,10.481252
62.22079,0.24940772,1601.6603,0.17301485,-0.09959828,1.0,4.4333305
67.485306,-2.508025,-1079.3513,0.07030055,0.5355999,1.0,7.472475
60.535645,-0.025266409,3696.7312,3.3700976,5.3419785,-0.06683724,3.5476089
152.6727,19.443459,18503.783,0.17533499,0.19132386,-2.1129847e-05,18.419464
62.358845,0.47894886,539.9718,0.056256097,-0.052104343,0.005383335,9.036893
60.195015,-0.3629453,2197.219,2.977436,4.622192,-0.065816134,3.827712
53.954952,0.13644932,564.1153,2.1493,3.7864695,0.0060976734,3.8638952
64.28048,-1.7331898,638.601,2.1332784,3.591613,-0.055317767,4.0195193
61.80228,0.12179238,732.51556,0.05403943,0.044757877,0.007771559,9.672443
163.63245,16.37973,25456.705,-0.1009228,-0.13740832,-0.0014463504,21.819542
122.2944,81.68072,28978.93,0.2832647,0.3326208,-0.014202057,6.6556873
71.47395,0.42755002,421.83258,9.134976,16.705164,-0.0023249644,8.613519
111.60757,168.95831,84461.58,0.1724547,0.13175796,-0.04165836,0.6772453
61.010937,-1.7350726,3446.9717,3.350109,5.432777,-0.06496978,3.7022061
61.478683,-0.62827003,721.21375,0.26672795,0.10764038,1.0,4.3417554
65.45483,-2.389815,-1109.3444,0.1062446,0.8572777,1.0,6.618961
164.30588,12.550784,26683.145,0.056947894,-0.030531429,-0.0030631775,21.710966
52.254562,0.46159106,203.6736,5.685748,9.806257,0.0031085212,1.5998777
58.991077,0.9398268,7858.9795,4.003896,6.6530466,-0.1367762,4.37124
71.88721,0.13148053,762.47986,-0.038845133,0.24818788,0.00047755238,14.840874
59.5528,0.044310093,3111.4485,3.3366096,5.2890735,-0.06652138,3.5830612
58.29138,0.17919296,305.46774,7.8450723,13.550668,-0.00014144182,2.445166
76.68609,0.69005525,339.99634,10.22449,18.53238,0.0010389682,15.609888
64.3884,0.04677236,561.8484,9.810388,17.05526,-0.00069886434,4.894234
61.659096,0.4728348,496.36075,8.845349,15.343356,-0.0018489042,4.534229
59.037537,-0.7295836,427.05997,0.27970418,-0.10635686,1.0,2.4265888
61.903435,0.28345293,502.53607,0.025475487,-0.08520704,0.00515288,9.252239
87.87154,-0.45322397,1454.6912,4.668124,8.150029,0.0010714675,18.56121
63.332447,0.47828636,599.39856,8.049135,14.237421,-0.0025620852,3.9592757
62.28909,0.3461829,364.18884,8.982527,15.577804,-0.0020166012,3.8125048
70.58641,0.51409227,395.13773,9.381188,16.680864,-0.0032775286,7.9850492
76.217995,0.27256587,102.89507,10.994916,19.80724,-0.0038300268,12.552418
60.020428,-0.103989236,3214.3594,3.275485,5.142401,-0.06323291,3.7048607
65.4307,0.41715115,245.25566,0.0017050281,0.0041711126,0.0050528813,11.094156
64.35299,0.044970587,285.5886,0.030590845,0.04487552,0.0057525896,10.765588
65.35437,-2.8209164,-1299.7162,-0.10024659,0.85607153,1.0,6.5865107
68.95927,-0.04255727,421.81668,0.045023747,-0.098065786,-0.0032531803,13.118709
73.54851,0.56140196,276.49307,9.520988,17.058786,-0.002172705,9.401164
165.94644,11.1767025,27849.883,0.04339515,-0.13196783,0.001016229,21.643322
63.62387,-3.2047777,1158.2767,3.1292267,4.72565,-0.05673627,4.3778744
75.07937,0.41195038,-34.79389,11.649369,20.110842,-0.0019737307,11.740816
61.284405,-0.4077192,1116.5033,0.22440651,-0.038385708,1.0,3.7386303
62.60985,0.0037899613,649.2281,0.024097543,0.057215247,0.011362615,9.945997
65.06742,0.022903383,101.17626,0.0781941,0.0017117616,0.0063841967,10.728585
65.20487,-0.23503113,-1248.3746,-0.011931613,0.15634084,0.9913684,8.482486
111.3498,148.25159,61534.473,0.052430753,-0.13691136,-0.020261524,-0.25628898
76.78042,0.65877575,223.43823,9.964951,17.961681,0.0026997859,15.429844
77.2928,0.35067424,168.70163,10.522427,18.546528,-0.0008806286,13.86118
57.77395,0.42040467,208.62749,-0.2100918,-0.1557727,0.0028611044,6.65638
93.536064,69.174286,22237.518,0.275426,-0.2921805,-0.051352322,0.74742854
58.925037,0.552359,169.92314,7.08536,12.274066,-0.001384451,4.399795
59.681683,1.702991,3648.4111,3.5925786,5.7457166,-0.07697596,4.4108562
65.421364,0.30167916,278.003,0.02039128,-0.005632339,0.004835136,11.279342
67.62278,1.3354186,251.9962,0.14051983,0.017177671,-0.0035959177,12.010406
53.37908,0.053063482,624.54504,3.725769,6.547966,0.005373486,2.5072515
71.0907,-0.15910926,561.2482,-0.049899265,0.12528753,-0.0006894766,14.527922
139.16689,61.83432,25897.617,0.38210708,0.36418423,-0.013342364,13.059605
67.84155,0.5789917,119.29529,0.049464118,-0.03745759,0.0026588824,12.284617
61.74377,-0.30939785,1415.9615,2.7394483,4.1292853,-0.060484517,4.165551
57.80709,0.51880354,193.54953,6.355285,10.949215,0.0008959023,3.4574964
71.45377,1.1235038,-63.974358,10.604019,18.12858,-0.00468799,10.189592
84.30116,2.468958,950.6452,0.9937072,0.9849322,-0.04510273,1.4199796
66.82039,-4.219565,-2815.48,0.9826612,1.2114769,1.0,10.13968
61.735558,0.037284046,801.32306,0.10074472,0.013074281,-0.0028028116,9.959176
60.93555,0.8234753,8390.695,4.096745,6.839421,-0.1332061,5.2593217
70.71298,0.19822387,828.6598,-0.05730144,0.24821672,0.002947754,14.421164
52.76582,0.25725183,496.0278,3.4568686,5.8966727,0.005005094,2.8991032
