Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors,Datetime
69,0,0,0,0,1,17
60,0,0,0,0,0,4
54,0,0,13,17,0,2
51,0,0,4,7,0,4
72,0,0,0,0,0,21
58,0,0,9,12,0,4
87,0,817,0,0,0,12
84,0,0,7,14,0,18
112,131,46465,0,0,0,0
133,9,10013,0,0,0,4
61,0,0,0,0,0,5
83,0,0,10,19,0,16
70,0,0,0,0,1,9
59,0,0,0,0,0,4
70,0,0,0,0,0,13
50,0,0,4,7,0,4
111,158,78655,0,0,0,0
69,0,0,0,0,0,13
57,0,0,2,7,0,3
122,29,18047,0,0,0,4
56,0,0,0,0,1,6
158,9,11112,0,0,0,10
71,0,0,0,0,0,13
73,0,0,20,40,0,4
57,0,0,0,0,0,17
62,0,0,0,0,0,5
154,8,10766,0,0,0,20
118,142,89989,0,0,0,0
79,0,0,17,27,0,12
48,0,0,0,0,1,0
116,153,102017,0,0,0,1
55,0,0,7,8,0,1
54,0,0,2,5,0,1
51,0,0,4,4,0,1
55,0,0,0,0,0,1
59,0,12,0,0,1,3
131,7,8300,0,0,0,4
63,0,0,0,0,0,9
63,0,0,0,0,0,5
62,0,0,0,0,0,5
65,0,0,0,0,1,14
51,0,0,0,0,1,0
55,0,0,11,16,0,1
54,0,0,2,4,0,2
58,0,0,1,2,0,3
141,35,27028,0,0,0,21
56,0,0,0,0,0,2
121,8,8345,0,0,0,4
54,0,0,6,12,0,3
50,0,0,0,0,1,0
53,0,0,0,0,0,1
77,0,0,0,0,0,16
118,135,94272,0,0,0,2
131,71,51295,0,0,0,21
63,0,0,1,1,0,7
160,26,30454,0,0,0,21
67,0,0,0,0,0,7
76,0,0,0,0,0,17
62,0,0,0,0,0,18
171,22,16445,0,0,0,16
85,0,0,11,23,0,15
63,0,0,0,0,0,19
61,0,0,3,8,0,4
170,21,16302,0,0,0,19
157,9,13987,0,0,0,21
58,0,0,0,0,1,5
76,0,0,0,0,0,21
105,148,47849,0,0,0,0
72,0,0,0,0,1,9
60,0,0,0,0,0,11
75,0,0,13,26,0,9
51,0,0,5,7,0,4
108,136,46706,0,0,0,0
143,24,19604,0,0,0,21
51,0,0,5,6,0,3
70,0,0,0,0,1,12
73,0,0,0,0,0,19
50,0,0,5,7,0,4
63,0,0,0,0,0,4
109,140,54969,0,0,0,0
71,0,0,0,0,0,21
78,0,0,15,32,0,8
64,0,0,0,0,0,20
115,170,102646,0,0,0,0
83,0,0,9,18,0,16
169,33,58333,0,0,0,21
51,0,0,0,0,1,0
63,0,0,0,0,0,10
78,0,0,0,0,0,14
69,0,0,0,0,0,21
55,0,0,0,0,0,10
62,0,0,0,0,0,3
65,0,0,0,0,0,6
56,0,0,0,0,0,5
147,10,10348,0,0,0,21
71,0,0,0,0,0,21
66,0,0,0,0,0,5
69,0,0,10,20,0,4
66,0,0,0,0,1,7
60,0,0,0,0,0,5
68,0,0,0,0,0,7
58,0,0,7,13,0,4
112,130,50964,0,0,0,0
82,0,0,7,14,0,18
64,0,0,0,0,0,16
147,18,18398,0,0,0,21
60,0,0,0,0,0,4
59,0,0,0,0,0,10
82,0,0,7,15,0,18
55,0,0,0,0,0,13
73,0,0,19,38,0,6
70,0,0,0,0,0,7
73,0,0,19,46,0,5
50,0,0,0,0,1,0
62,0,0,0,0,1,7
140,45,35167,0,0,0,21
66,0,0,0,0,0,8
64,0,0,0,0,0,6
166,29,65748,0,0,0,21
81,0,0,11,20,0,15
54,0,0,1,0,0,3
56,0,0,1,1,0,1
82,0,0,6,12,0,19
138,54,44930,0,0,0,21
81,0,0,6,13,0,17
65,0,0,0,0,1,8
71,0,0,0,0,1,9
152,41,39213,0,0,0,21
70,0,0,0,0,0,21
61,0,0,0,0,0,5
122,10,7961,0,0,0,4
57,0,0,1,2,0,1
84,0,0,7,16,0,19
160,11,13271,0,0,0,16
57,0,0,4,9,0,2
56,0,0,0,0,0,10
51,0,0,5,10,0,3
62,0,0,0,0,0,5
56,0,0,1,1,0,0
61,0,0,0,0,0,17
158,10,14136,0,0,0,21
145,14,15851,0,0,0,21
157,9,10179,0,0,0,7
55,0,0,9,14,0,2
67,0,0,0,0,1,9
57,0,0,0,0,0,1
160,19,36255,0,0,0,21
58,0,0,1,2,0,1
84,0,0,9,16,0,19
109,118,44964,0,0,0,0
58,0,0,0,0,0,10
83,0,0,6,11,0,19
53,0,0,2,5,0,3
62,0,0,0,0,0,5
83,0,0,9,19,0,17
77,0,0,0,0,0,17
55,0,0,3,4,0,1
65,0,0,0,0,0,6
69,0,0,0,0,0,13
60,0,0,1,1,0,2
134,89,60769,0,0,0,21
54,0,0,4,10,0,3
158,8,8823,0,0,0,7
164,19,30773,0,0,0,21
67,0,0,0,0,0,19
82,0,0,15,27,0,14
82,0,13,0,0,0,0
50,0,0,3,2,0,0
67,0,0,0,0,0,7
66,0,0,14,27,0,4
106,141,47347,0,0,0,0
53,0,0,1,3,0,2
65,0,0,0,0,0,6
70,0,0,0,0,0,21
57,0,0,0,0,0,6
71,0,0,0,0,0,18
148,9,10872,0,0,0,21
141,6,8181,0,0,0,9
75,0,0,0,0,0,18
65,0,0,0,0,0,9
158,9,11016,0,0,0,10
52,0,0,4,8,0,3
57,0,0,0,0,0,1
90,169,136676,0,0,0,10
171,33,46644,0,0,0,21
58,0,0,2,3,0,2
59,0,0,0,0,0,4
53,0,0,2,3,0,2
57,0,0,5,10,0,4
49,0,0,5,6,0,4
54,0,0,1,1,0,1
152,8,10804,0,0,0,19
48,0,0,3,2,0,0
70,0,0,0,0,0,16
66,0,0,0,0,0,6
65,0,0,0,0,0,6
55,0,0,5,11,0,3
168,17,21672,0,0,0,21
64,0,0,0,0,0,15
104,142,108729,0,0,0,11
72,0,0,0,0,0,13
77,0,0,1,2,0,11
52,0,0,0,0,1,2
56,0,0,0,0,1,0
82,0,0,5,12,0,19
140,45,46156,0,0,0,16
76,0,0,8,9,0,20
84,0,0,7,16,0,17
58,0,0,2,4,0,2
80,0,0,17,32,0,12
148,9,8558,0,0,0,6
77,0,0,19,39,0,7
120,6,6153,0,0,0,4
109,127,45005,0,0,0,0
82,0,0,7,14,0,17
59,0,0,5,9,0,3
60,0,0,0,0,1,2
70,0,0,0,0,0,21
59,0,0,8,12,0,3
53,0,0,2,5,0,2
152,11,16839,0,0,0,21
62,0,0,0,0,1,2
73,0,0,10,22,0,7
71,0,0,0,0,0,21
57,0,0,0,0,1,2
149,6,10564,0,0,0,12
120,148,110802,0,0,0,2
59,0,0,0,0,0,7
77,0,0,19,37,0,8
56,0,0,0,0,1,1
56,0,0,0,0,0,0
58,0,0,0,0,0,1
81,0,0,10,20,0,15
65,0,0,0,0,0,7
152,7,11482,0,0,0,21
63,0,0,0,0,0,5
108,131,44984,0,0,0,0
63,0,0,4,2,0,5
60,0,0,0,0,0,4
60,0,0,11,17,0,1
147,26,21162,0,0,0,21
160,10,16330,0,0,0,21
61,0,0,0,0,1,7
53,0,0,7,8,0,1
53,0,0,12,14,0,1
67,0,0,0,0,0,8
55,0,0,2,5,0,2
79,0,0,18,37,0,9
158,10,10893,0,0,0,8
67,0,0,0,0,0,10
116,1,1898,0,0,0,21
51,0,0,0,0,1,0
70,0,0,0,0,0,21
60,0,0,6,9,0,4
53,0,0,0,0,0,0
159,11,12170,0,0,0,21
60,0,0,0,0,0,5
80,0,0,5,10,0,20
64,0,0,6,12,0,3
143,24,22653,0,0,0,20
69,0,0,0,0,0,14
140,7,10424,0,0,0,5
122,8,8207,0,0,0,3
72,0,0,0,0,0,12
61,0,0,0,0,0,4
66,0,0,13,21,0,3
58,0,0,2,5,0,3
64,0,0,0,0,0,5
55,0,0,0,0,0,14
48,0,0,0,0,1,2
72,0,0,0,0,0,12
142,30,25056,0,0,0,21
116,4,7431,0,0,0,18
63,0,0,0,0,0,5
50,0,0,8,10,0,0
60,0,0,0,0,0,2
78,0,0,12,21,0,15
150,10,11136,0,0,0,21
55,0,0,3,8,0,4
65,0,0,2,1,0,8
75,0,0,0,0,0,15
72,0,0,0,0,0,19
67,0,0,0,0,0,21
85,0,0,8,16,0,17
58,0,0,0,0,0,10
67,0,0,0,0,0,6
72,0,0,0,1,0,10
53,0,0,0,0,1,1
72,0,0,0,0,0,21
66,0,0,0,0,1,8
81,0,0,16,27,0,14
60,0,0,1,0,0,5
149,12,15949,0,0,0,21
55,0,0,5,7,0,1
168,14,17176,0,0,0,16
82,0,0,11,19,0,16
81,0,0,17,30,0,10
65,0,0,0,0,0,20
138,46,35000,0,0,0,21
155,9,9080,0,0,0,6
51,0,0,4,8,0,3
157,11,16530,0,0,0,19
60,0,0,0,0,0,5
70,0,0,0,0,0,20
169,18,22267,0,0,0,16
81,0,0,13,27,0,11
111,154,77142,0,0,0,0
69,0,0,0,0,0,18
57,0,0,0,0,0,10
73,0,0,0,0,0,21
75,0,0,5,11,0,12
170,18,21003,0,0,0,21
55,0,0,6,9,0,3
79,0,0,4,9,0,20
83,0,0,9,17,0,17
165,11,10595,0,0,0,9
145,22,19813,0,0,0,21
72,0,0,6,12,0,8
71,0,0,0,0,0,21
71,0,0,0,0,0,14
116,152,97955,0,0,0,1
82,0,0,6,12,0,18
153,9,12347,0,0,0,21
135,75,58248,0,0,0,21
63,0,0,0,0,0,19
69,0,0,16,31,0,4
73,0,0,0,0,0,21
82,0,0,6,12,0,19
81,0,0,8,14,0,17
145,8,12050,0,0,0,7
75,0,0,18,38,0,9
65,0,0,0,0,0,18
78,0,0,15,30,0,11
65,0,0,0,0,0,18
80,0,0,8,15,0,16
148,10,12496,0,0,0,8
148,11,14249,0,0,0,21
169,32,43794,0,0,0,21
129,26,16324,0,0,0,1
57,0,0,4,9,0,2
59,0,0,6,5,0,4
82,0,0,7,11,0,19
109,119,43374,0,0,0,0
54,0,0,0,0,1,3
68,0,0,0,0,0,8
80,0,147,6,9,0,0
63,0,0,0,0,0,13
60,0,0,0,0,0,3
73,0,0,0,0,0,18
58,0,0,10,15,0,1
86,0,605,0,0,0,4
72,0,0,0,0,0,17
61,0,0,0,1,0,2
62,0,0,0,0,1,4
109,122,46009,0,0,0,0
65,0,0,0,0,0,9
173,26,16829,0,0,0,20
70,0,0,0,0,0,21
80,0,0,5,10,0,20
65,0,0,0,0,0,7
60,0,0,0,0,0,15
80,0,0,11,18,0,16
84,0,0,12,23,0,14
82,0,0,10,21,0,15
62,0,0,0,0,0,6
173,20,23479,0,0,0,19
59,0,0,0,0,0,4
153,10,11900,0,0,0,21
66,0,0,0,0,1,8
109,177,114149,0,0,0,0
102,0,1874,2,6,0,5
141,38,29958,0,0,0,21
55,0,0,1,1,0,1
173,33,23716,0,0,0,21
155,6,7692,0,0,0,7
60,0,0,0,0,0,5
140,5,6862,0,0,0,6
65,0,0,0,0,0,6
52,0,0,2,5,0,2
70,0,0,0,0,0,21
120,138,95791,0,0,0,8
106,150,47251,0,0,0,0
59,0,0,0,0,0,20
51,0,0,6,10,0,4
69,0,0,0,0,0,15
108,120,46798,0,0,0,0
69,0,0,0,0,1,10
66,0,0,0,0,1,9
68,0,0,0,2,0,8
60,0,0,0,0,0,4
162,19,23365,0,0,0,20
60,0,0,0,0,0,2
63,0,0,0,0,0,5
55,0,0,0,0,0,2
81,0,0,5,9,0,20
73,0,0,0,0,0,16
114,2,3244,0,0,0,8
59,0,0,3,7,0,3
150,7,9356,0,0,0,21
77,0,0,17,36,0,11
52,0,0,3,7,0,2
62,0,0,13,18,0,2
109,138,46038,0,0,0,0
57,0,0,0,0,1,4
60,0,0,0,0,0,5
81,0,0,10,19,0,16
65,0,0,0,0,0,21
65,0,0,7,14,0,1
72,0,0,0,0,0,18
60,0,0,0,0,1,2
75,0,0,20,42,0,5
162,7,10136,0,0,0,8
167,25,33948,0,0,0,19
92,156,125800,0,0,0,10
110,116,43681,0,0,0,0
69,0,0,0,0,0,19
173,22,23865,0,0,0,21
69,0,0,0,0,0,21
60,0,0,0,0,0,6
73,0,0,0,0,0,15
173,37,20919,0,0,0,21
109,133,47084,0,0,0,0
68,0,0,0,0,1,18
59,0,0,5,9,0,3
53,0,0,0,0,1,3
81,0,0,8,17,0,18
65,0,0,0,0,0,18
143,21,19443,0,0,0,21
65,0,0,0,0,0,9
64,0,0,0,0,0,7
56,0,0,0,0,0,0
61,0,0,1,2,0,3
65,0,0,0,0,0,19
142,41,32905,0,0,0,21
64,0,0,0,0,0,2
72,0,0,0,0,0,12
109,148,48109,0,0,0,0
65,0,0,0,0,1,6
58,0,0,0,0,0,7
63,0,0,7,17,0,2
57,0,0,0,0,1,1
59,0,0,12,19,0,2
82,0,0,14,27,0,11
70,0,0,0,0,0,21
