Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors,Datetime
74,0,0,0,0,0,22
90,163,130907,0,0,0,11
52,0,0,6,7,0,4
56,0,0,5,7,0,1
149,17,18707,0,0,0,22
61,0,0,6,10,0,4
80,0,0,2,1,0,13
78,0,0,19,33,0,9
165,12,13747,0,0,0,12
108,129,42249,0,0,0,0
84,0,0,8,16,0,16
171,26,23995,0,0,0,18
67,0,0,6,13,0,11
139,14,18874,0,0,0,7
66,0,0,0,0,0,5
75,0,0,0,0,0,21
60,0,0,0,0,0,4
57,0,0,0,0,0,2
70,0,0,0,0,0,15
137,8,8459,0,0,0,6
153,11,10573,0,0,0,8
53,0,0,4,6,0,2
75,0,0,0,0,0,14
122,11,7956,0,0,0,4
62,0,0,0,0,0,4
81,0,0,0,0,0,21
66,0,0,0,0,0,14
53,0,0,3,5,0,3
81,0,0,12,25,0,12
58,0,0,0,0,1,1
146,9,10650,0,0,0,22
111,120,45132,0,0,0,0
173,14,14653,0,0,0,22
59,0,0,0,0,0,6
66,0,0,4,3,0,9
81,0,0,7,13,0,18
74,0,0,0,0,0,17
144,23,16564,0,0,0,22
60,0,0,7,5,0,5
58,0,0,0,0,1,0
59,0,0,6,12,0,3
75,0,0,0,0,0,21
59,0,0,6,11,0,2
56,0,0,7,13,0,2
68,0,0,0,0,1,10
71,0,0,0,0,1,11
53,0,0,0,0,0,14
60,0,0,8,13,0,2
58,0,0,8,10,0,3
55,0,0,0,0,0,3
148,7,8667,0,0,0,22
159,10,11798,0,0,0,22
152,17,16231,0,0,0,22
153,7,8892,0,0,0,9
64,0,0,0,0,0,6
111,124,46898,0,0,0,0
68,0,0,0,0,0,9
60,0,0,0,1,0,2
82,0,0,6,12,0,18
65,0,0,0,0,0,15
111,120,41664,0,0,0,0
54,0,0,5,11,0,4
65,0,0,0,0,0,7
123,9,8953,0,0,0,5
52,0,0,3,4,0,3
80,0,0,16,28,0,12
59,0,0,0,0,0,6
162,13,14847,0,0,0,10
83,0,0,6,12,0,18
79,0,0,0,0,0,17
112,121,52381,0,0,0,1
115,164,96998,0,0,0,0
117,141,78461,0,0,0,1
78,0,0,0,0,0,22
151,16,16166,0,0,0,22
71,0,0,0,0,1,11
168,20,25366,0,0,0,18
61,0,0,0,0,0,10
80,0,0,0,0,1,15
75,0,0,9,19,0,13
78,0,0,0,0,0,22
64,0,0,0,0,0,5
146,17,13309,0,0,0,22
111,133,48617,0,0,0,0
144,8,8220,0,0,0,6
116,127,71805,0,0,0,1
63,0,0,4,9,0,4
152,9,9415,0,0,0,7
151,11,14141,0,0,0,21
52,0,0,0,0,1,0
117,1,395,0,0,0,18
98,0,0,8,16,0,19
53,0,0,5,7,0,3
61,0,0,9,15,0,3
62,0,0,0,0,0,22
54,0,0,2,4,0,4
53,0,0,9,11,0,2
60,0,0,0,0,1,4
83,0,0,7,15,0,17
73,0,0,0,0,0,20
167,17,19727,0,0,0,18
78,0,0,12,22,0,15
62,0,0,0,0,0,8
82,0,0,7,13,0,18
61,0,0,0,0,0,5
78,0,0,0,0,0,22
64,0,0,0,0,0,7
80,0,0,11,19,0,16
53,0,0,0,0,1,1
66,0,0,0,0,0,7
58,0,0,0,0,0,0
139,8,9999,0,0,0,6
68,0,0,0,0,0,8
52,0,0,0,0,1,2
