Datetime,Activity_Type,Heart rate,Calories burned,Exercise duration,Sleep duration,Sleep type duration,Floors climbed
8,Floors Climbed,65,0,0,0,0,1
1,Light Sleep,58,0,0,9,15,0
1,Light Sleep,57,0,0,8,12,0
1,Light Sleep,56,0,0,5,7,0
1,REM Sleep,55,0,0,2,3,0
1,REM Sleep,58,0,0,0,0,0
2,Light Sleep,59,0,0,8,15,0
2,Light Sleep,50,0,0,4,6,0
2,REM Sleep,50,0,0,3,5,0
3,Floors Climbed,52,0,0,0,0,1
3,Light Sleep,59,0,0,6,13,0
3,Light Sleep,56,0,0,5,11,0
3,REM Sleep,57,0,0,4,8,0
3,REM Sleep,56,0,0,3,6,0
3,Light Sleep,57,0,0,2,4,0
3,REM Sleep,55,0,0,3,5,0
3,Light Sleep,50,0,0,5,7,0
3,REM Sleep,55,0,0,2,5,0
3,REM Sleep,53,0,0,2,4,0
3,REM Sleep,52,0,0,2,4,0
5,Floors Climbed,54,0,0,0,0,1
9,No Physical Activity,56,0,0,0,0,0
15,No Physical Activity,57,0,0,0,0,0
20,No Physical Activity,60,0,0,0,0,0
21,Running,128,90,60875,0,0,0
22,No Physical Activity,73,0,0,0,0,0
22,Running,150,10,11639,0,0,0
22,No Physical Activity,68,0,0,0,0,0
22,Running,152,10,12088,0,0,0
22,Running,152,10,12756,0,0,0
22,Running,148,20,15223,0,0,0
22,Running,144,30,21386,0,0,0
22,Running,138,50,34195,0,0,0
16,Walking,92,150,111846,0,0,0
9,Floors Climbed,68,0,0,0,0,1
10,Walking,92,160,131794,0,0,0
0,Running,110,121,46151,0,0,0
0,Running,112,114,45936,0,0,0
0,Running,112,116,45003,0,0,0
1,Running,118,150,93599,0,0,0
3,No Physical Activity,58,0,0,0,0,0
3,No Physical Activity,58,0,0,0,0,0
3,Running,120,130,90936,0,0,0
4,No Physical Activity,59,0,0,0,0,0
4,No Physical Activity,59,0,0,0,0,0
5,No Physical Activity,65,0,0,0,0,0
5,No Physical Activity,63,0,0,0,0,0
5,No Physical Activity,61,0,0,0,0,0
5,No Physical Activity,60,0,0,0,0,0
5,No Physical Activity,60,0,0,0,0,0
5,Running,120,140,106025,0,0,0
6,No Physical Activity,69,0,0,0,0,0
6,Running,140,10,8552,0,0,0
6,No Physical Activity,68,0,0,0,0,0
7,Running,148,10,9606,0,0,0
7,Running,144,10,9025,0,0,0
8,Running,152,10,10387,0,0,0
8,Floors Climbed,67,0,0,0,0,1
